time_s,true_altitude_ft,true_ground_speed,target_altitude_ft,baro_valid,baro_sigma,gps_valid,gps_sigma_ft,baro_altitude_ft,gps_altitude_ft
0.1,1000.8333333333334,120,5000,True,0,True,0.0,1000.8333333333334,1000.8333333333334
0.2,1001.6666666666667,120,5000,True,0,True,0.0,1001.6666666666667,1001.6666666666667
0.30000000000000004,1002.5000000000001,120,5000,True,0,True,0.0,1002.5000000000001,1002.5000000000001
0.4,1003.3333333333335,120,5000,True,0,True,0.0,1003.3333333333335,1003.3333333333335
0.5,1004.1666666666669,120,5000,True,0,True,0.0,1004.1666666666669,1004.1666666666669
0.6,1005.0000000000002,120,5000,True,0,True,0.0,1005.0000000000002,1005.0000000000002
0.7,1005.8333333333336,120,5000,True,0,True,0.0,1005.8333333333336,1005.8333333333336
0.7999999999999999,1006.666666666667,120,5000,True,0,True,0.0,1006.666666666667,1006.666666666667
0.8999999999999999,1007.5000000000003,120,5000,True,0,True,0.0,1007.5000000000003,1007.5000000000003
0.9999999999999999,1008.3333333333337,120,5000,True,0,True,0.0,1008.3333333333337,1008.3333333333337
1.0999999999999999,1009.1666666666671,120,5000,True,0,True,0.0,1009.1666666666671,1009.1666666666671
1.2,1010.0000000000005,120,5000,True,0,True,0.0,1010.0000000000005,1010.0000000000005
1.3,1010.8333333333338,120,5000,True,0,True,0.0,1010.8333333333338,1010.8333333333338
1.4000000000000001,1011.6666666666672,120,5000,True,0,True,0.0,1011.6666666666672,1011.6666666666672
1.5000000000000002,1012.5000000000006,120,5000,True,0,True,0.0,1012.5000000000006,1012.5000000000006
1.6000000000000003,1013.3333333333339,120,5000,True,0,True,0.0,1013.3333333333339,1013.3333333333339
1.7000000000000004,1014.1666666666673,120,5000,True,0,True,0.0,1014.1666666666673,1014.1666666666673
1.8000000000000005,1015.0000000000007,120,5000,True,0,True,0.0,1015.0000000000007,1015.0000000000007
1.9000000000000006,1015.833333333334,120,5000,True,0,True,0.0,1015.833333333334,1015.833333333334
2.0000000000000004,1016.6666666666674,120,5000,True,0,True,0.0,1016.6666666666674,1016.6666666666674
2.1000000000000005,1017.5000000000008,120,5000,True,0,True,0.0,1017.5000000000008,1017.5000000000008
2.2000000000000006,1018.3333333333342,120,5000,True,0,True,0.0,1018.3333333333342,1018.3333333333342
2.3000000000000007,1019.1666666666675,120,5000,True,0,True,0.0,1019.1666666666675,1019.1666666666675
2.400000000000001,1020.0000000000009,120,5000,True,0,True,0.0,1020.0000000000009,1020.0000000000009
2.500000000000001,1020.8333333333343,120,5000,True,0,True,0.0,1020.8333333333343,1020.8333333333343
2.600000000000001,1021.6666666666677,120,5000,True,0,True,0.0,1021.6666666666677,1021.6666666666677
2.700000000000001,1022.500000000001,120,5000,True,0,True,0.0,1022.500000000001,1022.500000000001
2.800000000000001,1023.3333333333344,120,5000,True,0,True,0.0,1023.3333333333344,1023.3333333333344
2.9000000000000012,1024.1666666666677,120,5000,True,0,True,0.0,1024.1666666666677,1024.1666666666677
3.0000000000000013,1025.000000000001,120,5000,True,0,True,0.0,1025.000000000001,1025.000000000001
3.1000000000000014,1025.8333333333342,120,5000,True,0,True,0.0,1025.8333333333342,1025.8333333333342
3.2000000000000015,1026.6666666666674,120,5000,True,0,True,0.0,1026.6666666666674,1026.6666666666674
3.3000000000000016,1027.5000000000007,120,5000,True,0,True,0.0,1027.5000000000007,1027.5000000000007
3.4000000000000017,1028.333333333334,120,5000,True,0,True,0.0,1028.333333333334,1028.333333333334
3.5000000000000018,1029.1666666666672,120,5000,True,0,True,0.0,1029.1666666666672,1029.1666666666672
3.600000000000002,1030.0000000000005,120,5000,True,0,True,0.0,1030.0000000000005,1030.0000000000005
3.700000000000002,1030.8333333333337,120,5000,True,0,True,0.0,1030.8333333333337,1030.8333333333337
3.800000000000002,1031.666666666667,120,5000,True,0,True,0.0,1031.666666666667,1031.666666666667
3.900000000000002,1032.5000000000002,120,5000,True,0,True,0.0,1032.5000000000002,1032.5000000000002
4.000000000000002,1033.3333333333335,120,5000,True,0,True,0.0,1033.3333333333335,1033.3333333333335
4.100000000000001,1034.1666666666667,120,5000,True,0,True,0.0,1034.1666666666667,1034.1666666666667
4.200000000000001,1035.0,120,5000,True,0,True,0.0,1035.0,1035.0
4.300000000000001,1035.8333333333333,120,5000,True,0,True,0.0,1035.8333333333333,1035.8333333333333
4.4,1036.6666666666665,120,5000,True,0,True,0.0,1036.6666666666665,1036.6666666666665
4.5,1037.4999999999998,120,5000,True,0,True,0.0,1037.4999999999998,1037.4999999999998
4.6,1038.333333333333,120,5000,True,0,True,0.0,1038.333333333333,1038.333333333333
4.699999999999999,1039.1666666666663,120,5000,True,0,True,0.0,1039.1666666666663,1039.1666666666663
4.799999999999999,1039.9999999999995,120,5000,True,0,True,0.0,1039.9999999999995,1039.9999999999995
4.899999999999999,1040.8333333333328,120,5000,True,0,True,0.0,1040.8333333333328,1040.8333333333328
4.999999999999998,1041.666666666666,120,5000,True,0,True,0.0,1041.666666666666,1041.666666666666
5.099999999999998,1042.4999999999993,120,5000,True,0,True,0.0,1042.4999999999993,1042.4999999999993
5.1999999999999975,1043.3333333333326,120,5000,True,0,True,0.0,1043.3333333333326,1043.3333333333326
5.299999999999997,1044.1666666666658,120,5000,True,0,True,0.0,1044.1666666666658,1044.1666666666658
5.399999999999997,1044.999999999999,120,5000,True,0,True,0.0,1044.999999999999,1044.999999999999
5.4999999999999964,1045.8333333333323,120,5000,True,0,True,0.0,1045.8333333333323,1045.8333333333323
